
TTD - Therapeutic Targets Database Full Data Download File
Version 6.1.01 (2017.10.04)
Provided by BIDD   BioInformatic and Drug Design Group
                   Department of Pharmacy
                   National Unviersity of Singapore
                   http://bidd.nus.edu.sg/group/bidd.htm
Any question about data provided here, please contact with:
Prof. Chen (csccyz@nus.edu.sg) and Prof. Zhu (zhufeng@cqu.edu.cn, http://idrb.cqu.edu.cn/Peoples-PI.php)

--------------------------------------------------------------------------------------------------------

TTDDRUGID	LNM	Indication	ICD9	ICD10
D0J6KZ	S-777469	Atopic dermatitis	691.8, 692.9	L00-L99
D0J6LN	Etazolate	Neurodegenerative disease	330-337	G30-G32
D0J6LP	Colchiceine amide	Cancer	140-229	C00-C96
D0J6LU	Cryopreserved human liver cells	Liver disease	570-574	K70-K77
D0J6MS	BIBU-251	Thromboembolism	437.6, 453, 671.5, 671.9	I80-I82
D0J6NG	OPA-6566	Glaucoma	365	H40-H42
D0J6NV	GI-5005	HCV infection	070.4, 070.5, 070.70	B17.1, B18.2
D0J6NW	Shigella vaccine	Shigella infections	001-139	A00-B99
D0J6OE	Serine protease inhibitor Kazal type 1 (SPINK1)	Chronic pancreatitis		K85
D0J6OM	GDC-0917	Lymphoma	202.8, 208.9	C81-C86
D0J6PR	AC-100	Arthritis	710-719	M00-M25
D0J6PY	Taxol/Paraplatin/Herceptin	Breast cancer	174, 175	C50
D0J6RV	BAY1161909	Cancer	140-229	C00-C96
D0J6TN	2085-P	Otitis media		H65-H67
D0J6UA	CTP-499	Diabetic nephropathy	250.4	E11.21
D0J6VE	Ad-IFNg	Lymphoma	202.8, 208.9	C81-C86
D0J6VN	Indol-3-carbinol	Fungal infections	110-118	B35-B49
D0J6VT	Vaccine, influenza virus infection, VLP vaccine technology	Influenza virus		J11.1
D0J6VU	CVS-995	Myocardial infarction	410	I21, I22
D0J6VW	CUV-9900	Dermatological disease		L00-L99
D0J6WJ	Modified vitamin A	Age related macular degeneration	362.5	H35.3
D0J6WV	WRR605	Amebiasis	6	A06
D0J6WW	Proquazone	Osteoarthritis	715	M15-M19, M47
D0J6WX	Flutropium bromide	Cough	786.2	R05
D0J6XC	tiratricol	Wound healing		T14.0-T14.1
D0J6XO	A-331440	Obesity	278	E66
D0J6YZ	Very small embryonic-like stem cells	Glaucoma	365	H40-H42
D0J6ZA	SRD-441	Atopic dermatitis	691.8, 692.9	L00-L99
D0J7AI	BN-80245	Cancer	140-229	C00-C96
D0J7CD	Poly IC-poly arginine	Keratosis		L57.0
D0J7CE	CDE-6960	Inflammatory disease	140-229, 147, 173, 573.3, 710-719	C11, C44, K75.9, M00-M25
D0J7CH	QGE-031	Medullary thyroid cancer	193	C73
D0J7CP	OctreoScan	Cancer	140-229	C00-C96
D0J7DI	KAI-1455	Ischemic reperfusion injury		I00-I99
D0J7EH	ACCLAIM	Angina; Coronary artery disease	410-414, 413, 429.2	I20, I20-I25
D0J7EP	AVN 397	Alzheimer disease; Anxiety disorder	331, 300, 311	G30, F32, F40-F42
D0J7LV	VLP vaccine	Influenza A infection		J10, J11
D0J7ML	D-20133	Cancer	140-229	C00-C96
D0J7MQ	MKC-1106-MT	Melanoma	172	C43
D0J7OG	Midecamycin	Bacterial infections	001-009, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	A00-B99
D0J7OZ	EMD-387008	Diabetes	253.5, 588.1	E23.2, N25.1
D0J7QC	124I-8H9	Glioblastoma multiforme	191	C71
D0J7QU	E-913	Human immunodeficiency virus infection	279.3	B20-B26
D0J7QX	AT-012	Cancer	140-229	C00-C96
D0J7RK	Dobutamine	Heart failure; Cardiogenic shock	428.0, 785.51	I50, R57.0
D0J7RP	RP-AAV8	Retinitis pigmentosa		H35.5
D0J7TM	Benzylpenicilloyl Polylysine	Bacterial infections	001-009, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	A00-B99
D0J7UI	ICI-198615	Asthma		J45
D0J7WO	BSF-78438	Schizophrenia	295	F20
D0J7XL	Gramicidin D	Bacterial infections	001-009, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	A00-B99
D0J7XN	UR-5269	Rheumatoid arthritis	710-719, 714	M05-M06
D0J7ZF	LCL-161	Cancer	140-229	C00-C96
D0J8AE	OMN-54	Cancer	140-229	C00-C96
D0J8BZ	BIIB 2024	Breast cancer; Gastrointestinal stromal tumor	174, 175	C50, C15-C26
D0J8EC	ACT-280778	Essential hypertension	401	I10-I16
D0J8ED	JP-1201	Cancer	140-229	C00-C96
D0J8FE	CDK2 inhibitors	Cancer	140-229	C00-C96
D0J8IC	SiRNA nanoparticles, non-small-cell lung cancer	Non-small cell lung cancer		C33-C34
D0J8ID	5-HT4/D2 antagonists	Schizophrenia	295	F20
D0J8II	Corticosteroid	Gastrointestinal disease		K00-K93
D0J8IJ	Eliglustat tartrate	Metabolic disorders	270-279	E70-E89
D0J8JF	RG-4934	Arthritis	710-719	M00-M25
D0J8JP	Pimavanserin	Parkinson disease psychosis		G00-G99
D0J8JP	Pimavanserin	Parkinson's disease; Psychosis; Schizophrenia	290-299, 332, 295	F02.3, F20-F29, G20, F20
D0J8NC	ASP-8370	Neuropathic pain	356.0, 356.8	G64, G90.0
D0J8OC	Scriptaid	Cancer	140-229	C00-C96
D0J8PI	Edotreotide	Acromegaly	253	E22.0
D0J8RM	Posatirelin	Neurodegenerative disease	330-337	G30-G32
D0J8RR	Dextromethorphan+quinidine	Painful diabetic neuropathy	250.6,338,780	E10.4, E11.4, E13.4, G89, R52
D0J8RS	PD-146176	Atherosclerosis	414.0, 440	I70
D0J8RV	SMT-A07	Cancer	140-229	C00-C96
D0J8TH	CEB-925	Hypercholesterolemia		E78
D0J8UV	AC-260584	Schizophrenia	295	F20
D0J8VV	PRO-055	Duchenne dystrophy		G71.0
D0J8WE	CRYPTOPHYCIN 52	Cancer	140-229	C00-C96
D0J8WJ	AKL-0707	Lipodystrophy	272.6	E88.1
D0J8WO	TAK-428	Diabetic neuropathy	250, 250.6, 356.0, 356.8	E11.40
D0J8XO	BCH-150	Gastrointestinal disease		K00-K93
D0J8YA	PentaLyte	Blood transfusion		D50-D89
D0J8ZA	Quinethazone	Hypertension; Congestive heart failure	401, 428	I10-I16, I50
D0J9AK	MK-944a	Human immunodeficiency virus infection	279.3	B20-B26
D0J9CF	IDDBCP-150101	Obesity; Sexual dysfunction	278, 302.7	E66, F52
D0J9CG	NmVac	Meningococcal infection	36.9	A39
D0J9GR	OX-27	Cancer pain	140-229, 338,780	R52, G89
D0J9HO	Single Tablet Regimen of sofosbuvir and ledipasvir	Chronic HCV infection	070.4, 070.5, 070.70	B17.1, B18.2
D0J9HW	Olaparib	Breast cancer; Ovarian cancer	174, 175, 183	C50, C56
D0J9IH	PELITREXOL	Cancer	140-229	C00-C96
D0J9JQ	XR-5082	Thrombosis	437.6, 453, 671.5, 671.9	I80-I82
D0J9KC	IGN-101	Colorectal cancer	153, 154	C18-C21
D0J9MO	Tetrabranched peptides	Multidrug resistant infection		A00-B99
D0J9NJ	CLX-0901	Type 2 diabetes	250	E11
D0J9PD	STP-206	Enterocolitis		A04.7
D0J9PD	STP-206	Enterocolitis		A04.7
D0J9PK	OXA-01	Cancer	140-229	C00-C96
D0J9PS	MEDI1841	Alzheimer disease	331	G30
D0J9PT	BMS-820836	Major depressive disorder	296.2, 296.3, 710.0	F32, F33, M32
D0J9QV	Calcium-activated small conductance potassium channel blockers	Central nervous system disease		G00-G99
D0J9TA	Sensor linked micelle	Cancer	140-229	C00-C96
D0J9TO	HG-1076	Cancer	140-229	C00-C96
D0J9UA	hESC-derived RPE (PF-05206388)	Wet age-related macular degeneration		H35.31
D0J9UB	RG7593	Hematological malignancies	200-209	C81-C86
D0J9UN	Uracil mustard	Acute myeloid leukemia	205	C92.0
D0J9UY	V505	Cervical cancer; Human papillomavirus infections	180, 078.1079.4	C53, B97.7
D0J9VG	NSI-566	Lateral sclerosis		G12.2
D0J9VK	CM-156	Drug abuse	303-304	F10-F19
D0J9XZ	Torasemide	Edema associated with congestive heart failure	428.0, 782.3	I50, R60.9
D0J9YS	DFRF4539A	Multiple myeloma	203	C90
D0J9ZR	Niclosamide	Cestode infection		B71.9
D0JA1Z	TA-6666	Type 2 diabetes	250	E11
D0JA3Y	MEDI-578	Pain	338, 356.0, 356.8,780	G64, G90.0, R52, G89
D0JA7V	PRX-105	Poison intoxication		T36-T50
D0JA8R	HLA-DQ2 peptide vaccine	Celiac disease	579	K90.0
D0JB0D	Influenza subunit vaccines	Influenza virus		J11.1
D0JB0N	BLV-0704	Pain	338, 356.0, 356.8,780	G64, G90.0, R52, G89
D0JB4V	XEN-403	Pain	338, 356.0, 356.8,780	G64, G90.0, R52, G89
D0JB4W	CHIR-29498	Bacterial infections	001-009, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	A00-B99
D0JB7L	TGF-beta	Pleural disease		J90
D0JB7Z	AIT-034	Dementia	290-294	F01-F07
D0JC4J	SARMs	Cancer	140-229	C00-C96
D0JC7A	NP-50501	Cancer	140-229	C00-C96
D0JC8G	PL2100	Stroke	434.91, 437.6, 453, 671.5, 671.9	I61-I63, I80-I82
D0JC9N	Adapalene	Acne vulgaris	706.1	L70.0
D0JC9N-D0MA9N	dapsone + adapalene	Acne vulgaris	706.1	L70.0
D0JC9N-D0R0ZL	adapalene + clindamycin	Acne vulgaris	706.1	L70.0
D0JD1A	Antimicrobial peptide	Infections	001-139	A00-B99
D0JD1R	Zn-DPA-G	Glioma	191	C71
D0JD4S	CU-906	Cancer	140-229	C00-C96
D0JD8N	Dicer-substrate small interfering RNAs	Cancer	140-229	C00-C96
D0JD9F	Onyvax-105 anti-idiotype cancer vaccine 105AD7	Prostate cancer	185	C61
D0JE2E	Rosuvastatin	Elevated CRP		E78.0
D0JE2E	Rosuvastatin	Hypercholesterolemia		E78
D0JE2E-D0MX5S	Enoxaparin + Rosuvastatin	Deep vein thrombosis	437.6, 453, 453.40, 671.5, 671.9	I80-I82, I80.2
D0JE2E-D0N0TZ	rosuvastatin + clopidogrel	Myocardial fibrosis		I51.4
D0JE2E-D0O3YF	Cyclosporine + Rosuvastatin	Cardiovascular disorder		I00-I99
D0JE2E-D0WF7L	rosuvastatin + ticagrelor	Myocardial fibrosis		I51.4
D0JE4D	Dornase Alfa	Cystic fibrosis	277	E84
D0JE4D-D0P7EK	Dornase alfa + Mannitol	Cystic fibrosis	277	E84
D0JF3M	P-144	Ulcer	531-534	K25-K27
D0JF6O	Eltenac	Arthritis	710-719	M00-M25
D0JF9Z	CSL-362	Acute myeloid leukemia	205	C92.0
D0JG6T	XEN-401	Pain	338, 356.0, 356.8,780	G64, G90.0, R52, G89
D0JG8O	Luliconazole 10%	Dry eye disease	370.33	H16.229
D0JH5K	TVI-Kidney-1	Renal cancer	140-229, 189	C64
D0JH6W	DX-9065a	Angina pectoris	413	I20
D0JH9E	Anti-botulinum mabs	Clostridium infection	001-139	A00-B99
D0JH9T	ACE-393	Diarrhea	787.91	A09, K59.1
D0JI1J	GP-683	Pain	338, 356.0, 356.8,780	G64, G90.0, R52, G89
D0JI1S	RDEA-640	Human immunodeficiency virus infection	279.3	B20-B26
D0JI2E	Aleplasinin	Alzheimer disease	331	G30
D0JI5G	PCNU	Brain cancer	191, 225.0	C71, D33
D0JI8B	Milataxel	Cancer	140-229	C00-C96
D0JJ1B	Artilide	Cardiac arrhythmias	427	I47-I49
D0JJ7S	Valbenazine Tosylate	Tardive dyskinesia		G24
D0JJ8A	CaV2.2 blocker	Pain	338, 356.0, 356.8,780	G64, G90.0, R52, G89
D0JL2K	Grepafloxacin	Bacterial infections	001-009, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	A00-B99
D0JL2K	Grepafloxacin	Chronic bronchitis		J42
D0JL3Y	HuGAL-F2	Cancer	140-229	C00-C96
D0JM0G	Non-Hodgkin's lymphoma vaccine	Haemophilus influenza		B96.3
D0JN3M	ITAMELINE	Cognitive disorders	290-294, 294.0, 780.09, 780.9, 780.93	F01-F07, F04, F05, R41.3
D0JN5H	Trunkamide	Cancer	140-229	C00-C96
D0JN5N	Laquinimod	Lupus nephritis	583.81	M32.1, N08.5
D0JO0I	VBY- 825	Cancer	140-229	C00-C96
D0JO3U	Elliptinium acetate	Cancer	140-229	C00-C96
D0JO3X	AG-SDT102	Genitourinary disease		N00-N99
D0JO7Y	Fulvestrant	Breast cancer	174, 175	C50
D0JO7Y-D0W0BF	Anastrozole + Fulvestrant	Breast cancer	174, 175	C50
D0JO7Y-D0W0BF	Anastrozole + Fulvestrant	Progression-free survival		
D0JO8Z	Fosfestrol	Cancer	140-229	C00-C96
D0JP4A	OsteoCel	Injury		S00-T88
D0JP4H	Bethanidine	Hypertension; Heart arrhythmia	401	I10-I16, I47-I49
D0JP8D	GSK249320	Stroke	434.91, 437.6, 453, 671.5, 671.9	I61-I63, I80-I82
D0JQ4R	AA-10022	Pain	338, 356.0, 356.8,780	G64, G90.0, R52, G89
D0JQ4S	Xmab-7195	Asthma		J45
D0JQ7Y	Ximelagatran	Coagulation		I80-I82
D0JQ9D	Immune Globulin intravenous (human)	Immunodeficiency	279.3	D84.9
D0JR9V	JBP-1	Cancer	140-229	C00-C96
D0JS0W	PF-05230907	Nontraumatic intracerebral hemorrhage		I61.9
D0JS2A	Somatotropin rdna original	Growth hormone deficiency	253.0, 253.3	E22.0, E23.0
D0JS2L	Anti-RSV mab	Respiratory syncytial virus infection	79.6	B97.4
D0JS4E	ICM-3	Graft-versus-host disease	279.5	T86.0
D0JS7E	LMS-611 inhalant	Asthma		J45
D0JS8H	ME1111	Onychomycosis		B35.1
D0JS9U	GSK-2231395A	Streptococcus pneumoniae infection		J13
D0JT1P	Brain tumor vaccine	Brain cancer	191, 225.0	C71, D33
D0JT5I	PF-04457845	Liver disease	570-574	K70-K77
D0JV0O	GM608	Parkinson's disease	332	G20
D0JV2E	ETEC vaccine	Escherichia coli infections		B96.2
D0JV4A	PA08140	Cardiovascular disorder		I00-I99
D0JV4Q	Lanoconazole	Dermatological disease		L00-L99
D0JV8Q	XB-05	Cancer	140-229	C00-C96
D0JW0V	GCS-100	Chronic kidney disease	403, 585.1-585.5, 585.9	N18
D0JW1A	Ciprofloxacin intratympanic - Otonomy	Unspecified		
D0JW1R	Pyrroles	Cancer	140-229	C00-C96
D0JW1S	Meglumine gadoterate	Blood brain barrier		
D0JW2O	Anti-HER3/EGFR DAF	Metastatic epithelial tumors	140-199	C00-C75, C7A, C7B
D0JW2Y	Anti-Clostridium difficile mabs	Clostridium infection	001-139	A00-B99
D0JW7D	Omiganan	Bacterial infections	001-009, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	A00-B99
D0JW7I	RON8 mab	Cancer	140-229	C00-C96
D0JX7K	ActoBiotics	Allergy	995.3	T78.4
D0JY2K	NS-1643	Heart arrhythmia		I47-I49
D0JY2X	Neu-2000	Cardiac arrest		I46
D0JY3V	Racecadotril	Diarrhea	787.91	A09, K59.1
D0JY4Y	E-3040	Thrombosis	437.6, 453, 671.5, 671.9	I80-I82
D0JY5S	Methantheline	Peptic ulcer disease; Irritable bowel syndrome; Pancreatitis; Gastritis		K58, K85, K86, K29.0-K29.7
D0JY6R	MTL-101	Infections	001-139	A00-B99
D0JY8T	Bazedoxifene	Osteopetrosis		Q78.2
D0JY8T-D0T0LU	Bazedoxifene + Conjugated Estrogen	Moderate-to-severe vasomotor symptoms		J30
D0JZ5Y	Gp75 DNA vaccine	Cancer	140-229	C00-C96
D0JZ8X	HGTV43	Human immunodeficiency virus infection	279.3	B20-B26
D0K0AT	SARALASIN	Hypertension	401	I10-I16
D0K0CK	AZ-17	Psoriasis	696	L40
D0K0DB	RO-25-6981	Cancer pain	140-229, 338,780	R52, G89
D0K0DY	Zinc hyaluronate	Acne vulgaris	706.1	L70.0
D0K0EK	Prasterone	Chronic obstructive pulmonary disease	490-492, 494-496	J40-J44, J47
D0K0FV	QR-334	Salivary gland dysfunction		K11.7
D0K0GF	SSR-181507	Schizophrenia	295	F20
D0K0GN	LDI-200	Leukemia	208.9	C90-C95
D0K0IM	MK-8666	Type 2 diabetes	250	E11
D0K0IN	KBSA-301	Staphylococcus aureus infection		B95.6
D0K0IS	Polyglutamate camptothecin	Solid tumours	140-199, 210-229	C00-D48
D0K0IW	CRA-028129	Psoriatic disorder	696	L40
D0K0JQ	Dilmapimod	Acute lung injury; Acute respiratory distress syndrome	518.5, 518.82	J80
D0K0KH	Tropisetron	Fibromyalgia	729.1	M79.7
D0K0KJ	LF-521	Pain	338, 356.0, 356.8,780	G64, G90.0, R52, G89
D0K0KP	GE-68	Heart arrhythmia		I47-I49
D0K0KQ	BC-819	Bladder cancer; Late-stage pancreatic cancer	188, 140-229, 157	C67, C25
D0K0LA	LC34AD3	Non-insulin dependent diabetes		E11.9
D0K0LG	CPG23NEUR	Neurological disease	338, 338.2, 410, 782.3,780	I21, I22, R52, R52.1-R52.2, R60.9, G89
D0K0MB	LP-10218	Cancer	140-229	C00-C96
D0K0MI	Sulphur hexafluoride microbubble ultrasound agent	Cardiovascular disorder		I00-I99
D0K0MW	Lofexidine	Heroin and opiate withdrawal	304	F10-F19
D0K0OB	AL-18	Leukemia	208.9	C90-C95
D0K0OU	MBX-1684	Pseudomonas aeruginosa infection	001-139	B96.5
D0K0OZ	Famotidine	Peptic ulcer	531-534	K25-K27
D0K0OZ-D0L7FM	Famotidine + Probenecid	Ulcers		K51
D0K0OZ-D0R1QE	Famotidine + Ibuprofen	Rheumatoid arthritis; Osteoarthritis		M05-M06, M15-M19, M47
D0K0SB	NKM	Influenza virus		J11.1
D0K0SW	VLST-002	Autoimmune diabetes		E08-E13
D0K0TC	Sertraline	Depression	311	F30-F39
D0K0TC-D0K5WS	Cholecalciferol + Sertraline	Cardiovascular disorder		I00-I99
D0K0TC-D0PG8O	Naltrexone + Sertraline	Alcoholism		F10
D0K0TC-D0V4QS	Olanzapine + Sertraline	Major depression with psychotic features		F30-F39
D0K0TC-D0X4ZR-D0Y5DO	Bupropion + Citalopram + Sertraline	Acute coronary syndrome	444	I74
D0K0TZ	Multimeric-001	Influenza virus		J11.1
D0K0VH	S-5751	Rhinitis	472.0, 477	J00, J30, J31.0
D0K0VO	Urapidil	Hypertension	401	I10-I16
D0K0WA	CNTO-5825	Allergic asthma	493, 995.3	J45, T78.4
D0K0XG	MF-8615	Alzheimer disease	331	G30
D0K0XW	C-9138	Alzheimer disease	331	G30
D0K0YC	PD-0325901	Breast cancer; Colon tumor; NSCLC		C50
D0K0YO	Melanoma antigens	Melanoma	172	C43
D0K0ZB	Tresperimus	Autoimmune diabetes		E08-E13
D0K0ZK	ADX-63365	Central nervous system disease		G00-G99
D0K1AF	A-74273	Hypertension	401	I10-I16
D0K1AI	Sch-58500	Breast cancer	174, 175	C50
D0K1AP	NSL-101	Oral facial pain	338,780	R52, G89
D0K1BR	NLP-61	Neurodegenerative disease	330-337	G30-G32
D0K1CL	SDZ-224-015	Rheumatoid arthritis	710-719, 714	M05-M06
D0K1DC	Romergoline	Anxiety disorder	300, 311	F32, F40-F42
D0K1EG	QAV-680	Allergic rhinitis	472.0, 477, 995.3	J00, J30, J31.0, T78.4
D0K1EO	Picroliv	Liver disease	570-574	K70-K77
D0K1HO	Acifran	Atherosclerosis	414.0, 440	I70
D0K1LJ	Ad5-TRAIL	Prostate cancer	185	C61
D0K1LO	R-873	Erectile dysfunction	302.72, 607.84	F52.2, N48.4
D0K1OA	D-4418	Cutaneous T-cell lymphoma	202.1, 202.2	C84.0, C84.1
D0K1OK	CCR5 mab	Human immunodeficiency virus infection	279.3	B20-B26
D0K1OR	IB-06F259	Cancer	140-229	C00-C96
D0K1PR	B-428	Cancer	140-229	C00-C96
D0K1QD	Sulfamylon	Bacterial infections	001-009, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	A00-B99
D0K1QO	CEFETECOL	Bacterial infections	001-009, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	A00-B99
D0K1SR	PH-794428	Growth hormone deficiency	253.0, 253.3	E22.0, E23.0
D0K1SZ	Norcisapride	Gastroesophageal reflux disease	140-229, 530	K21
D0K1TM	AMP-423	Cancer	140-229	C00-C96
D0K1UD	MMV00/0053	Malaria		B54
D0K1UF	Saliphenylhalamide	Cancer	140-229	C00-C96
D0K1VK	AZD8055	Cancer	140-229	C00-C96
D0K1WT	GSK-679586A	Asthma		J45
D0K1XK	Hydralazine	Hypertension	401	I10-I16
D0K1XK-D0U4UQ	Hydralazine + Hydrochlorothiazide	Edema; Hypertension; Diabetes insipidus; Hypoparathyroidism		R60.9, I10-I16, E23.2
D0K1YQ	SP-10	Human immunodeficiency virus infection	279.3	B20-B26
D0K1ZD	Edobacomab	Endotoxic shock		R57.8
D0K2AR	Pyridocarbazole	Cancer	140-229	C00-C96
D0K2BQ	BRL-61063	Allergy	995.3	T78.4
D0K2CR	Nemorubicin	Solid tumours	140-199, 210-229	C00-D48
D0K2CV	HOE-694	Heart arrhythmia		I47-I49
D0K2EC	MEDI-77	Central nervous system disease		G00-G99
D0K2ER	MK-886	Asthma		J45
D0K2FH	Extract of serenoa repens	Benign prostatic hypertrophy	600	N40
D0K2GA	Silteplase	Thrombin deficiency	437.6, 444.9, 453, 671.5, 671.9	I74, I80-I82, I82, O88, T79.0-T79.1
D0K2GV	HIV vaccine	Human immunodeficiency virus infection	279.3	B20-B26
D0K2HA	PF-2413873	Endometriosis	617	N80
D0K2HU	PF-06444752	Asthma		J45
D0K2ID	NKTR-181	Pain	338, 356.0, 356.8,780	G64, G90.0, R52, G89
D0K2KD	PB-6	Bacterial infections	001-009, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	A00-B99
D0K2KS	HuCNS-SC	Central nervous system disease		G00-G99
D0K2LR	LG-611	Influenza virus		J11.1
D0K2MT	ADC-7828	Chronic obstructive pulmonary disease	490-492, 494-496	J40-J44, J47
D0K2NA	YM-57158	Allergic rhinitis	472.0, 477, 995.3	J00, J30, J31.0, T78.4
D0K2OV	Oxytrex	Pain	338, 356.0, 356.8,780	G64, G90.0, R52, G89
D0K2PH	Elvucitabine	Human immunodeficiency virus infection	279.3	B20-B26
D0K2PS	Carmoxirole	Hypertension	401	I10-I16
D0K2QG	DASANTAFIL	Erectile dysfunction	302.72, 607.84	F52.2, N48.4
D0K2RV	Timothy grass extract	Allergic rhinitis	472.0, 477, 995.3	J00, J30, J31.0, T78.4
D0K2RY	Itriglumide	Anxiety disorder	300, 311	F32, F40-F42
D0K2TB	Docarpamine	Hypertension	401	I10-I16
D0K2UJ	MUT-11931	Bacterial infections	001-009, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	A00-B99
D0K2WK	Cicletanine	Pulmonary arterial hypertension	416	I27.0, I27.2
D0K2XB	GX-51	Solid tumours	140-199, 210-229	C00-D48
D0K2ZF	PH-797804	Chronic obstructive pulmonary disease	490-492, 494-496	J40-J44, J47
D0K2ZG	5-LO (pain/neuro-inflammation), St Charles Pharmaceuticals	Nervous system inflammation		G00-G09
D0K3DQ	Cefotiam	Bacterial respiratory tract infection		J13, J15
D0K3FG	EDP-13	Cancer	140-229	C00-C96
D0K3FX	NT-503	Age related macular degeneration	362.5	H35.3
D0K3GB	99mTc-MIP-1340	Prostate cancer	185	C61
D0K3GU	PF-3185043	Atherosclerosis	414.0, 440	I70
D0K3JQ	RPI-MN	Human immunodeficiency virus infection	279.3	B20-B26
D0K3JZ	PT-00311	Neurological disease	338, 338.2, 410, 782.3,780	I21, I22, R52, R52.1-R52.2, R60.9, G89
D0K3LO	Romosozumab	Postmenopausal osteoporosis	733	M80-M81
D0K3LW	Malathion	Pediculus humanus capitis	132	B85.0
D0K3LX	RNAPc2	Colorectal cancer	153, 154	C18-C21
D0K3MC	Lofepramine	Major depressive disorder	296.2, 296.3, 710.0	F32, F33, M32
D0K3MU	NRL-0301	Non-alcoholic steatohepatitis	571.8	K76.0
D0K3OY	Dovitinib	Endometrium Cancer		C54.1
D0K3QS	Everolimus	Advanced kidney cancer	189	C64
D0K3QS	Everolimus	Renal cancer	140-229, 189	C64
D0K3QS-D0N0TZ	Clopidogrel + Everolimus	Coronary artery disease	410-414, 429.2	I20-I25
D0K3QS-D0O3YF	everolimus + cyclosporine	Renal transplantation	279.5	D89.8
D0K3QS-D0TV0C	pasireotide lar + everolimus	Neuroendocrine carcinoma of the lung and thymus		C33, C34
D0K3QS-D0VG0D	rad001 + bez235	Metastatic breast cancer		C50
D0K3QW	REC-0436	Overactive bladder disorder	188, 596.51	C67, N32.81
D0K3RP	NRI-1013	Pain	338, 356.0, 356.8,780	G64, G90.0, R52, G89
D0K3SM	MALP-2S	Pancreatic cancer	140-199, 140-229, 157, 210-229	C25
D0K3SV	PF-05236812	Alzheimer disease	331	G30
D0K3UQ	Vercirnon	Crohn's disease	555	K50
D0K3VA	Erdosteine	Bronchitis		J20-J21, J42
D0K3VP	Vaccine, respiratory syncytial virus infection	Respiratory syncytial virus infection	79.6	B97.4
D0K3WN	DNP-004089	Alzheimer disease	331	G30
D0K3WO	MK-08887A	Chronic obstructive pulmonary disease	490-492, 494-496	J40-J44, J47
D0K3XP	Methoxy polyethylene glycol-epoetin beta	Emesis; Kidney transplant rejection	787, 996.81	R11, T86.1
D0K3XS	Custirsen	Prostate cancer	185	C61
D0K3YG	ANX-201	Cytomegalovirus infection		B25
D0K3ZL	MA09-hRPE cells	Ocular disease		H00-H59
D0K3ZR	Bisoprolol	Hypertension	401	I10-I16
D0K3ZR-D0N6RF	Bisoprolol + Telmisartan	Diabetes	253.5, 588.1	E23.2, N25.1
D0K3ZR-D0S9QA	ivabradine + bisoprolol	Heart rate control in icd patients with heart failure		I50
D0K3ZR-D0U4UQ	Bisoprolol + Hydrochlorothiazide	Blood pressure		
D0K3ZR-D0U4UQ	Bisoprolol + Hydrochlorothiazide	Hypertension	401	I10-I16
D0K4CD	ASP-8477	Neuropathic pain	356.0, 356.8	G64, G90.0
D0K4CH	IMGN-009	Cancer	140-229	C00-C96
D0K4CQ	Indecainide	Dysrhythmias	427	I47-I49
D0K4DI	Anistreplase	Myocardial infarction; Acute coronary thrombosis	410, 414.8	I21, I22, I24.0
D0K4ED	Ro-23-9424	Bacterial infections	001-009, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	A00-B99
D0K4FP	AZD-8165	Thrombosis	437.6, 453, 671.5, 671.9	I80-I82
D0K4GG	STP-902	Respiratory syncytial virus infection	79.6	B97.4
D0K4GI	Affinitak + Gemcitabine	Non-small cell lung cancer		C33-C34
D0K4HW	N-DESMETHYLCLOZAPINE	Schizophrenia; Schizoaffective disorders	295, 295.70	F20, F25
D0K4IS	PF-06293620	Type 2 diabetes	250	E11
D0K4JQ	GSK2336805	HCV infection	070.4, 070.5, 070.70	B17.1, B18.2
D0K4JS	ATX-3105	Inflammatory disease	140-229, 147, 173, 573.3, 710-719	C11, C44, K75.9, M00-M25
D0K4MH	Tapentadol hydrochloride	Moderate-to-severe acute pain	338,780	R52, G89
D0K4MU	CROBENETINE HYDROCHLORIDE	Pain	338, 356.0, 356.8,780	G64, G90.0, R52, G89
D0K4MW	LP-30171	Cancer	140-229	C00-C96
D0K4NZ	Velneperit	Obesity	278	E66
D0K4OC	DI-VAL-L-DC	Cancer	140-229	C00-C96
D0K4OF	PlaMavax	Malaria		B54
D0K4OL	LOR-2501	Solid tumours	140-199, 210-229	C00-D48
D0K4OS	TS-121	Depression	311	F30-F39
D0K4PN	AZD-1134	Anxiety disorder	300, 311	F32, F40-F42
D0K4QL	doxorubicin-LL2 conjugate, Immunomedics	Unspecified		
D0K4QT	BAY-Y-5959	Cardiovascular disorder		I00-I99
D0K4RK	Blinatumomab	Acute lymphoblastic leukemia	204.0, 556	C91.0
