4-ethyl-3,4-dihydroquinazolin-2-amine	HTR5A
n-(benzyl),n-(pyrrol-2-ylmethyl)amine	MAOB
aal-993	KDR
aal-993	FGFR1
aal-993	FLT1
butanoic acid	BCHE
(s)-4cpg	GRM1
(s)-4cpg	GRM5
betulin	PYGM
n-hydroxy-4-(3-phenyl-propionylamino)-benzamide	HDAC1
n-hydroxy-4-(3-phenyl-propionylamino)-benzamide	HDAC6
n-hydroxy-4-(3-phenyl-propionylamino)-benzamide	HDAC4
n-hydroxy-4-(3-phenyl-propionylamino)-benzamide	HDAC8
n-hydroxy-4-(3-phenyl-propionylamino)-benzamide	HDAC2
n-hydroxy-4-(3-phenyl-propionylamino)-benzamide	HDAC10
h-dmt-tic-d-asp-n(me)-ph	OPRD1
h-dmt-tic-d-asp-n(me)-ph	OPRM1
mcl-446	OPRK1
mcl-446	OPRD1
mcl-446	OPRM1
bafilomycin b1	ATP6V1A
cgk733	ATM
cgk733	ATR
d(ch2)5[tyr(me)2,thr4,orn8(5/6c-flu),tyr-nh29]vt	OXTR
d(ch2)5[tyr(me)2,thr4,orn8(5/6c-flu),tyr-nh29]vt	AVPR1A
sch 206272	TACR2
sch 206272	TACR1
sch 206272	TACR3
ciclopirox	ATP1A1
vas-203	NOS3
(1r)-1,2,2-trimethylpropyl (s)-methylphosphinate	ACHE
1-benzhydryl-4-(4-fluorophenyl)piperidin-4-ol	OPRL1
1-benzhydryl-4-(4-fluorophenyl)piperidin-4-ol	OPRK1
1-benzhydryl-4-(4-fluorophenyl)piperidin-4-ol	OPRD1
1-benzhydryl-4-(4-fluorophenyl)piperidin-4-ol	OPRM1
6-methyl-2-oxa-spiro[4.4]nonan-1-one	GABRA1
6-methyl-2-oxa-spiro[4.4]nonan-1-one	GABRG2
6-methyl-2-oxa-spiro[4.4]nonan-1-one	GABRB2
maraviroc	CCR5
remogliflozin etabonate	SLC5A4
altenusin	MCL1
pha-666859	MAPK14
1-(3-(4-chlorobenzyl)quinoxalin-2-yl)hydrazine	MAOA
1-(2-bromo-phenyl)-3-(2,4-dihydroxy-phenyl)-urea	CXCR1
tjn-220	CALCR
metoprolol	ADRB1
atryn antithrombin	F2
1-morpholin-4-yl-benzo[f]chromen-3-one	PRKDC
iddbcp-150101	MC4R
sb-705498	TRPV1
cyt-007-tnfqb	TNF
cp-101,606	GRIN2B
rp-52770	PTAFR
abt-202	CHRNE
n5-[4-(3-methylphenoxy)phenyl]-l-glutamamide	LTA4H
d(ch2)5[d-ile2,ile4]avp	AVPR2
ro-316233	PRKCD
ro-316233	LCK
ro-316233	CHEK1
ro-316233	MAPK12
ro-316233	SGK1
ro-316233	PRKCG
ro-316233	MAPK1
ro-316233	PRKCZ
ro-316233	PRKCA
ro-316233	SIRT1
ro-316233	CDK1
ro-316233	ROCK1
ro-316233	MAPK11
ro-316233	RPS6KB1
ro-316233	PRKAR1A
ro-316233	MAPK8
ro-316233	PRKCB
ro-316233	AKT1
ro-316233	CCNB1
ro-316233	MAPK14
ro-316233	PRKCE
ro-316233	PRKCQ
haloxysterol b	BCHE
haloxysterol b	ACHE
dpc 423	F10
1-(3,5-dibromobenzyl)-1h-imidazole	CYP17A1
2-chloro-5-(2-methylquinolin-7-yl)nicotinonitrile	GRM5
apafant	PTAFR
trihexyphenidyl	CHRM1
benzyl bromide	TRPA1
n-(4-aminobiphenyl-3-yl)benzamide	HDAC2
bms-816336	HSD11B1
ka-398	HRH1
n-methylmesoporphyrin	FECH
2-morpholino-n-phenethylpyrimidin-4-amine	ACHE
insulin-detemir	INS
vb4-845	EPCAM
4-hydroxy-n,n-diphenylbenzenesulfonamide	ESR1
nusinersen	SMN2
n-(naphthalen-1-yl)-4-phenylthiazol-2-amine	CCR4
2-(2-cyclohexyl-4-methoxyphenoxy)acetic acid	PTGDR2
indan-2-ylcarbamic acid biphenyl-3-yl ester	FAAH
5-phenethyl-quinazoline-2,4-diamine	PDF
5-phenethyl-quinazoline-2,4-diamine	DHFR
3-(4-benzyl-piperidin-1-ylmethyl)-chroman-4-one	HTR1A
3-(4-benzyl-piperidin-1-ylmethyl)-chroman-4-one	DRD2
promestriene	ESR1
prasugrel	P2RY12
veraguensin	PTAFR
3-[(2-methyl-4-thiazolyl)ethynyl]benzonitrile	GRM5
2-methoxyestrrone-3-o-sulfamate	CA2
prostacyclin analog	PTGIR
spp-676	REN
h-dmt-tic-(2r,3s)-beta-mecha-phe-nh2	OPRD1
h-dmt-tic-(2r,3s)-beta-mecha-phe-nh2	OPRM1
[3h]losartan	AGTR1
n-carboxymethyl-n-cyclopentyl-phthalamic acid	ACE
5-aminomethyl-3-pyrrol-1-yl-oxazolidin-2-one	MAOB
ru78262	SRC
taurocholic acid	CEL
nsc-621351	NQO1
6-acetyl-7-hydroxy-2h-chromen-2-one	CA9
cep1348	MAP3K10
csc-500297	HTR2C
safironil	P4HA1
thermoprofen	PTGS2
thermoprofen	PTGS1
zk-91587	NR3C2
gsk2194069	FASN
3,6-bis(dmt-tic-nh-propyl)-2(1h)-pyrazinone	OPRD1
3,6-bis(dmt-tic-nh-propyl)-2(1h)-pyrazinone	OPRM1
cp-903397	DRD2
dpi59	SRC
4-(2-(benzyloxy)-6-fluorophenyl)piperidine	HTR1A
4-(2-(benzyloxy)-6-fluorophenyl)piperidine	SLC6A2
4-(2-(benzyloxy)-6-fluorophenyl)piperidine	SLC6A4
4-(2-(benzyloxy)-6-fluorophenyl)piperidine	SLC6A3
abt-724	DRD4
aps-3010	MET
pd-0173956	PDGFRB
pd-0173956	ABL1
pd-0173956	EGFR
pd-0173956	LCK
pd-0173956	KIT
pd-0173956	PDGFRA
pd-0173956	MAPK14
pd-0173956	SRC
pd-0173956	FGFR1
adenosine diphosphate	P2RY1
adenosine diphosphate	P2RY13
adenosine diphosphate	P2RY6
adenosine diphosphate	TRPM4
adenosine diphosphate	P2RY12
1-methyl-3-(phenylcarbamoyloxy)pyridinium bromide	BCHE
l-660771	CYSLTR1
3-sec-butoxy-9h-beta-carboline	GABRA1
ho-lva	AVPR1A
gyki-53655	GABRA1
gyki-53655	GRIA1
gyki-53655	GABRA2
gyki-53655	GABRB2
l19-tnf-alpha	FN1
piritrexim	DHFR
mrs928	ADORA2B
mrs928	ADORA3
mrs928	ADORA1
bibn-140	CHRM2
n-(phosphonacetyl)-l-aspartic acid	CAD
kr61639	PTPN1
c[rgdf-(s)-alpha-tfmv]	ITGAV
c[rgdf-(s)-alpha-tfmv]	ITGB3
sun-8399	HTR1A
[3h]pentazocine	SIGMAR1
1-(4-methoxyphenyl)-3-(5-methylthiazol-2-yl)urea	ALOX5
2,6-dimethyl-8-ethyl-1-deazapurine	ADORA1
hyperforin	NR1I2
hyperforin	PTGS1
hyperforin	ALOX5
trafermin	FGFR2
sn-28	OPRK1
sn-28	OPRD1
sn-28	OPRM1
ac-vthrlagllsrsggvvrknfvptdvgpfaf-nh2	CALCA
1-(4-bromo-2,5-dimethoxy-phenyl)-piperazine	HTR1A
1-(4-bromo-2,5-dimethoxy-phenyl)-piperazine	HTR1D
1-(4-bromo-2,5-dimethoxy-phenyl)-piperazine	HTR2A
sarafotoxin s6b	EDNRA
n-(5-bromo-quinoxalin-6-yl)-guanidine	ADRA1A
n-(5-bromo-quinoxalin-6-yl)-guanidine	ADRA1B
n-(5-bromo-quinoxalin-6-yl)-guanidine	ADRA1D
ave-5997	DRD3
cpi-203	BRD4
oxtriphylline	ADORA1
oxtriphylline	PDE3A
oxtriphylline	HDAC2
oxtriphylline	PDE4A
oxtriphylline	PDE4D
oxtriphylline	ADORA2A
oxtriphylline	PDE4B
oxtriphylline	PDE4C
isis-ptp1brx	PTPN1
ni-57	BRPF1
ni-57	BRD1
ni-57	BRPF3
1-(4-nitrophenethyl)pyrrolidine	HRH3
l-ornithine	GPRC6A
ver-156084	CNR1
ver-156084	FAAH
ver-156084	CNR2
scutellarein	XDH
certolizumab	TNF
eugeniin	SQLE
cra1000	CRHR1
chlorogenic acid	SLC37A4
(e)-2-(4-fluorostyryl)-5-(phenylsulfinyl)pyridine	HTR2C
(e)-2-(4-fluorostyryl)-5-(phenylsulfinyl)pyridine	KCNH2
(e)-2-(4-fluorostyryl)-5-(phenylsulfinyl)pyridine	HTR2A
anti-cd22/cd19 mab-toxin conjugate	CD22
anti-cd22/cd19 mab-toxin conjugate	CD19
on-01135	CDK1
pimozide	KCNH2
pimozide	DRD3
pimozide	DRD2
isosorbide-2-(methylcarbamate)-5-mononitrate	BCHE
isosorbide-2-(methylcarbamate)-5-mononitrate	ACHE
bl-1020	DRD2
1-(4-aminophenyl)-2-(1h-imidazol-1-yl)ethanone	CYP19A1
4-(3-pyridin-2-yl-1h-pyrazol-4-yl)quinoline	TGFBR1
bas-00387275	SRC
bas-00387275	ABL1
h-dmt-tic-(2s,3r)-beta-mecha-phe-oh	OPRD1
h-dmt-tic-(2s,3r)-beta-mecha-phe-oh	OPRM1
ro-5323441	PGF
br3-fc	TNFSF13B
navpnlrgdlqvlaqkvart	ITGAV
adenosine a2b antagonists	ADORA2B
centaureidin	TUBB
2-(3''(7''-bromo-indolyl)ethyloxy)adenosine	ADORA2A
2-(3''(7''-bromo-indolyl)ethyloxy)adenosine	ADORA3
2-(3''(7''-bromo-indolyl)ethyloxy)adenosine	ADORA1
aloisine a	CDK1
aloisine a	CDK2
aloisine a	GSK3A
aloisine a	CDK5
ag14361	PARP1
2,3-dimethoxy-2'-hydroxychalcone	PTGS2
pf-429242	MBTPS1
2-fluorophenylboronic acid	FAAH
piperoxan	ADRA2C
piperoxan	ADRA2B
piperoxan	ADRA2A
isis 114170	E2F3
ms-1819	PNLIP
opc-13013	PDE3A
imo-2125	TLR9
[11c]sb207145	HTR4
3-methoxy-5-(1,5-naphthyridin-3-yl)benzonitrile	GRM5
ici 200,880	ELANE
5-azidomethyl-3-pyrrol-1-yl-oxazolidin-2-one	MAOA
debrisoquin	SLC6A2
h-dmt-tic-lys-nh-ph	OPRD1
h-dmt-tic-lys-nh-ph	OPRM1
rindopepimut	EGFR
aab-003/pf-05236812	APP
1,1-diphenyl-2-(3-tropanyl)ethanol	CHRM2
1,1-diphenyl-2-(3-tropanyl)ethanol	CHRM1
1,1-diphenyl-2-(3-tropanyl)ethanol	CHRM3
sb399885	HTR6
gsk-557296	OXTR
compound 5b	PSMB5
compound 5b	HCAR3
compound 5b	GSK3B
compound 5b	DYRK2
compound 5b	DGAT1
compound 5b	HIPK2
atn-161	ITGB3
atn-161	ITGB1
etacrynic acid	ATP1A1
etacrynic acid	SLC12A1
isis 105989	PPARG
8s-hydroxylobelane	SLC6A4
8s-hydroxylobelane	SLC6A3
sideroxylonal a	SERPINE1
(s)-tacrine(10)-hupyridone	ACHE
2-morpholino-6-(thianthren-1-yl)-4h-chromen-4-one	PRKDC
bufrudin, biopharm	F2
l-772,405	HTR1A
l-772,405	HTR1D
l-772,405	HTR1B
dihydroergotoxine	GABRA1
dihydroergotoxine	GABRA2
dihydroergotoxine	DRD2
dihydroergotoxine	GABRB2
sodium 2,3,5,6-tetrafluorobenzoate	CA2
jnj-10198409	PDGFRB
jnj-10198409	ABL1
jnj-10198409	LCK
jnj-10198409	PDGFRA
jnj-10198409	SRC
jnj-10198409	FYN
3-(2,6-diphenylpyridin-4-yl)phenol	TOP2A
3-(2,6-diphenylpyridin-4-yl)phenol	TOP2B
bqca	CHRM1
darifenacin	CHRM3
3-(1-benzyl-piperidin-4-yl)-2-phenyl-1h-indole	HTR2A
(-)-eseroline	OPRD1
(-)-eseroline	OPRM1
l-366,948	OXTR
1-(3-(4-fluorophenyl)propyl)-1h-imidazole	CYP17A1
1-(3-(4-fluorophenyl)propyl)-1h-imidazole	CYP19A1
6-fluorotryptophan	TPH2
6-fluorotryptophan	TPH1
(rs)-tacrine(10)-hupyridone	BCHE
(rs)-tacrine(10)-hupyridone	ACHE
isis 19211	CD40
isis 4729	SELE
cpp -15	ABAT
(r)-5-diphosphomevalonate	PMVK
sk&f-104856	ADRA1A
sk&f-104856	ADRA1B
sk&f-104856	ADRA1D
fggftgarksarklvnq	OPRL1
cu201 (b9870)	KNG1
ipi-940	FAAH
tupichinol c	ESR2
mk-8808	MS4A1
ac-ryyrik-nh2	OPRL1
resveratrol potassium3-sulfate	PTGS2
resveratrol potassium3-sulfate	PTGS1
jcar015	CD19
datp	P2RY11
[3h]naltriben	OPRD1
kai-4169	CASR
2-thiophen-2-yl-3h-imidazo[4,5-c]quinoline	GABRA1
2-thiophen-2-yl-3h-imidazo[4,5-c]quinoline	GABRG2
2-thiophen-2-yl-3h-imidazo[4,5-c]quinoline	GABRB2
(s)(+)-7-fluoro-2-(4-fluorophenyl)chroman-4-one	MAOB
l-homoarginine	NOS3
tgf alpha	EGFR
cyclo[cys7,cys10]n/ofq(1-13)nh2	OPRL1
8-cyclohexyl-6-(4-tolyl)-2-phenyl-9h-purine	ADORA1
skf-83556	DRD1
skf-83556	DRD5
nsc-180969	NQO2
tgn-1412	CD28
azd6482	PIK3CB
4-(4-hydroxy-benzylideneamino)-benzenesulfonamide	CA2
4-(4-hydroxy-benzylideneamino)-benzenesulfonamide	PTGS2
3-(6-(phenylamino)-9h-purin-8-yl)benzonitrile	GSK3B
morphinone	OPRM1
hyacinthacine b3	LCT
cem-301	MLNR
indole-3-propionic acid	SLC36A1
ac55649	RARB
l-734217	ITGB3
l-734217	ITGA2B
org-231295	FAAH
2-bromo-4-(3-fluorophenylethynyl)thiazole	GRM5
[18f]fitm	GRM1
g-csf	CSF3R
g-csf	CSF1R
7-phenyl-1-(1,3,4-thiadiazol-2-yl)-heptan-1-one	FAAH
troplasminogen alfa	PLG
mg149	KAT6B
3-(4-amino-phenyl)-1-methyl-pyrrolidine-2,5-dione	CYP19A1
3'-carbamoylbiphenyl-3-yl 6-phenylhexylcarbamate	FAAH
2-methyl-1-phenyl-2-pyridin-3-yl-propan-1-one	CYP11B1
n,n-dimethylarginine	NOS3
n,n-dimethylarginine	NOS2
slv-323	TACR1
pd-200390	CACNA1G
apomorphine	DRD3
apomorphine	DRD2
apomorphine	DRD4
azithromycin-n-benzyltriazolylhexahydroxamic acid	HDAC8
azithromycin-n-benzyltriazolylhexahydroxamic acid	HDAC1
4-hexyl resorcinol	TYR
pd-135188	DRD2
fgf-21	FGF21
kte-c19 car	CD19
nuvanil	TRPV1
1,1,1-trifluoro-9-phenyl-nonan-2-one	FAAH
debio 1143	BIRC2
debio 1143	XIAP
debio 1143	BIRC3
tacrine	BCHE
tacrine	ACHE
2-(2-hexylphenyl)isoindoline-1,3-dione	NR1H3
(s)-4c3hpg	GRM1
(s)-4c3hpg	GRM2
(s)-4c3hpg	GRM5
isis 7855	RAF1
benzaldehyde o-4-(heptyloxy)phenylcarbamoyl oxime	FAAH
4-[3-hydroxyanilino]-6,7-dimethoxyquinazoline	CDK2
po3 2-leu-nal-o-3k	ECE1
d-phe-arg-2-nal-nhch3	MC1R
d-phe-arg-2-nal-nhch3	MC4R
ad-p53	TP53
a-850002	GRM1
t0156	PDE5A
ly108742	HTR2A
isis 25075	MAP2K2
6-chloro-2-(4-hydroxy-phenyl)-benzooxazol-5-ol	ESR2
6-chloro-2-(4-hydroxy-phenyl)-benzooxazol-5-ol	ESR1
ono-ae3-208	PTGER4
ono-ae3-208	PTGER3
aav2-hfix16	F9
trimegestone/ethinyl estradiol	ESR1
minnelide 001	HSF1
v1a f/u	AVPR1A
glatiramer acetate	HLA-DRB1
cgs-12066b	HTR1B
small molecule 33	HTR2B
ac-wvthrlaglls[cit]sggvvrknfvptdvgpfaf-nh2	CALCA
isis 25125	MAP2K2
n,n'-(1',6-hexylene)-bis-(-)-nor-mep	BCHE
n,n'-(1',6-hexylene)-bis-(-)-nor-mep	ACHE
(2s,1'r,2's)-2-(2'-phosphonocyclopropyl)glycine	GRM4
6-acetyl-7-ethoxy-2h-chromen-2-one	CA9
docosahexaenoic acid	PTGS2
docosahexaenoic acid	PTGS1
1-(2-aminoethyl)-1h-indazol-6-ol	HTR2C
1-(2-aminoethyl)-1h-indazol-6-ol	HTR2B
1-(2-aminoethyl)-1h-indazol-6-ol	HTR2A
n-(5-methylthiazol-2-yl)benzamide	ALOX5
om-294-dp	TLR4
fr-901451	ELANE
abt-418	CHRNB2
abt-418	CHRNA4
4-(1-amino-1-carboxy-ethyl)-benzoic acid	GRM1
belladonna	CHRM5
2-imidazol-1-yl-7-methoxy-3-phenyl-chromen-4-one	CYP19A1
gw841819x	BRD4
gw841819x	BRD3
gw841819x	BRD2
isis 188780	FOXO1
8-bromo-9-propyl-9h-adenine	ADORA2A
8-bromo-9-propyl-9h-adenine	ADORA2B
8-bromo-9-propyl-9h-adenine	ADORA1
1-hydroxy-1-thio-glycerol	PREP
1-ethyl-3-imidazol-1-ylmethyl-1h-indole	CYP11B1
bantag-1	GRPR
bantag-1	BRS3
9-hydroxypropyladenine, r-isomer	TK1
dbt-1339	APP
sgc0946	DOT1L
6-oxo-16-formyl-estrone	HSD17B1
isis 134606	CASP6
3-(6-amino-purin-9-yl)-5-m-tolyl-pentan-2-ol	ADA
salicylhydroxamic acid	DHODH
ethyl (1e)-2-phenyl-n-(sulfooxy)ethanimidothioate	LCT
bi 860585	MTOR
oxaprozin	PTGS2
oxaprozin	PTGS1
gr55562	HTR1B
quinizarin	TOP1
ep-217609	F2
ep-217609	F10
4-phenyl-4-[1h-imidazol-2-yl]-piperidine	OPRK1
4-phenyl-4-[1h-imidazol-2-yl]-piperidine	OPRD1
1d05	PCSK9
blinatumomab	CD19
blinatumomab	CD3D
2s,4r-4-methylglutamate	GRIK1
a-846714	HRH4
pip2	ITPR1
pip2	TRPM4
pip2	KCNJ5
pip2	KCNQ2
pip2	KCNQ4
pip2	TRPM7
pip2	KCNJ3
pip2	KCNJ9
pip2	KCNJ6
pip2	PLD2
pip2	KCNJ2
pip2	HCN2
2-(4-morpholinyl)-8-phenyl-4h-1-benzopyran-4-one	PIK3CG
l-751250	ADRB3
sb-201076	ACLY
l-796568	ADRB1
l-796568	ADRB2
mabs targeting par-1	F2R
2-(4-(benzenesulfonyl)phenyl)-1-aminoethane	HTR6
corticotropin	MC2R
gnf-pf-5134	MCL1
fr-173657	BDKRB2
bis(2,4-dinitrophenyl)sulfane	TXNRD1
2-phenyl-6h-pyrazolo[1,5-c]quinazolin-5-one	GABRA1
anti-egfr mab	EGFR
sun-c8257	CMA1
uni-re-4	GLP1R
6-methyl-2-m-tolyl-1h-[1,8]naphthyridin-4-one	TUBB
s-(dimethylarsenic)cysteine	NOS3
s-(dimethylarsenic)cysteine	TLR2
tdi-0059	NGFR
isoloxapine	DRD2
isoloxapine	CHRM3
isoloxapine	CHRM2
isoloxapine	DRD1
isoloxapine	DRD4
isoloxapine	DRD5
isoloxapine	DRD3
isoloxapine	CHRM4
isoloxapine	CHRM1
5-hydroxy-2-phenylisoindoline-1,3-dione	ESR1
5-fluoro-2-(pyridin-2-yl)-1h-benzo[d]imidazole	METAP2
2-phenyl-2h-pyrazolo[3,4-c]quinolin-4(5h)-one	ADORA1
9h-beta-carbolin-3-ol	GABRA1
revatropate	CHRM3
3hydroxy-1-methyl-1-phenylurea	TYR
h-arg-arg-pro-tyr-n-me-ile-leu-oh	NTSR1
n-hydroxy-7-(4-methoxyphenyl)-7-oxoheptanamide	HDAC1
cj 11,974-01	TACR1
(sar)wtlnsagyllgpkk(lys-decanoyl)k	GALR1
(sar)wtlnsagyllgpkk(lys-decanoyl)k	GALR2
3-[6-methoxy-indan-(1e)-ylidenemethyl]-pyridine	CYP19A1
ralitoline	SCN1A
(r)-3-prop-2-ynylamino-indan-5-ol	MAOB
pimagedine hcl	NOS2
thiocarbamate	SQLE
k-604	CES1
avotermin	TGFB3
psb-0788	ADORA2A
psb-0788	ADORA2B
psb-0788	ADORA1
laropiprant	TBXA2R
laropiprant	PTGER1
laropiprant	PTGIR
laropiprant	PTGDR
laropiprant	PTGER2
laropiprant	PTGFR
laropiprant	PTGER3
laropiprant	PTGDR2
cer-001	APOA1
2-(2-benzhydryl-4-phenylthiazol-5-yl)acetic acid	PTGDR2
bay 1082439	PIK3CB
tyr-pro-phg-phe-nh2	OPRM1
3-methoxy-5-(2-methylquinolin-7-yl)benzonitrile	GRM5
tyr-pro-phg-pro-nh2	OPRM1
2,4,3',5'-tetrahydroxybibenzyl	TYR
velaglucerase alfa	GBA
fuscoside	ALOX5
isis 122971	MAP3K3
vg-101	ESR2
al7182	CA2
nadroparin	SERPINC1
(s)-2-amino-1-(4-ethylthiophenyl)-propane	MAOA
gastrazole	CCKBR
1-benzyl-3,3-diethylazetidine-2,4-dione	ELANE
2,3,7-trichloro-5-nitroquinoxaline (tnqx)	TERT
tyr-pro-l-phe-d-pro-nh2	OPRD1
tyr-pro-l-phe-d-pro-nh2	OPRM1
b-623	PLAU
4,5,6,7-tetrahydro-1h-indazole-3-carboxylic acid	HCAR2
4,5,6,7-tetrahydro-1h-indazole-3-carboxylic acid	HCAR3
1-(bis(4-bromophenyl)methyl)-3-phenylurea	CNR1
sodium sulfamate	CA4
dynorphin b	OPRK1
dynorphin b	OPRD1
dynorphin b	OPRM1
5-(4-((phenethylamino)methyl)phenoxy)picolinamide	OPRK1
5-(4-((phenethylamino)methyl)phenoxy)picolinamide	OPRD1
5-(4-((phenethylamino)methyl)phenoxy)picolinamide	OPRM1
2-(2-cyclopentylidenehydrazinyl)-4-phenylthiazole	MAOA
2-(2-cyclopentylidenehydrazinyl)-4-phenylthiazole	MAOB
(z)-3-[2-(9h-fluoren-2-yloxy)ethylidene]-quinuclidine hydrochloride 31	FDFT1
lergotrile	HTR6
blz-945	CSF3R
blz-945	CSF1R
cyclo-[-arg-gly-asp-amp24-]	ITGAV
cyclo-[-arg-gly-asp-amp24-]	ITGB3
sc-41930	LTB4R
1,3-diphenylurea	EPHX2
4'-(trifluoromethyl)-4-biphenylol	KIF11
5-acrylamido-n-(3-bromophenyl)-2-hydroxybenzamide	EGFR
hexachlorophene	SDHD
tibolone	ESR1
sb 242084	HTR2C
sb 242084	HTR2B
sb 242084	HTR2A
dienogest	AR
dienogest	PGR
cgnlstcblgtytqdfnkfhzypqtaigvgap-amide	CALCR
6-bromo-3-(pyridin-4-yl)-1h-indole	IMPDH2
chlordiazepoxide	GABRD
chlordiazepoxide	GABRG3
chlordiazepoxide	GABRG2
chlordiazepoxide	GABRA1
chlordiazepoxide	GABRG1
chlordiazepoxide	GABRA4
chlordiazepoxide	GABRA2
chlordiazepoxide	GABRE
chlordiazepoxide	GABRP
chlordiazepoxide	GABRB3
chlordiazepoxide	GABRQ
chlordiazepoxide	GABRA5
chlordiazepoxide	GABRA3
chlordiazepoxide	GABRA6
chlordiazepoxide	GABRB1
chlordiazepoxide	TSPO
chlordiazepoxide	GABRB2
qcp	SLC5A1
arq 736	BRAF
ogx-427	HSPB3
k00024	CDK4
k00024	CDK1
k00024	CDK2
4-phenyl-1-(3-phenylpropyl)piperidin-4-ol	OPRL1
brevarex	MUC1
3-(1-chloro-7-methoxy-naphthalen-2-yl)-pyridine	CYP17A1
3-(1-chloro-7-methoxy-naphthalen-2-yl)-pyridine	CYP11B1
mcl-516	HTR1A
mcl-516	DRD2
mcl-516	DRD1
stx	ESR1
kr-62436	DPP4
acerogenin a	SLC5A1
2-(5-hydroxy-naphthalen-1-yl)-benzooxazol-6-ol	ESR2
2-(5-hydroxy-naphthalen-1-yl)-benzooxazol-6-ol	ESR1
cyclorgdfv	ITGAV
cyclorgdfv	ITGB3
ceronapril	ACE
carbidopa	DDC
methyl-pentyl-prop-2-ynyl-amine oxalic acid	MAOB
slv-332	TACR2
palifermin	FGFR2
sc-41390	LTB4R2
sc-41390	LTB4R
111in-hegf	EGFR
n-(3-(2,5-dimethoxyphenyl)propyl)acetamide	MTNR1A
n-(3-(2,5-dimethoxyphenyl)propyl)acetamide	MTNR1B
rebamipide	FPR1
xylazine	ADRA2C
xylazine	ADRA2B
sar101099	UTS2R
iso-ompa	BCHE
iso-ompa	ACHE
d-val-l-boropro	DPP4
1-benzhydryl-4-benzylpiperidin-4-ol	OPRL1
1-benzhydryl-4-benzylpiperidin-4-ol	OPRK1
1-benzhydryl-4-benzylpiperidin-4-ol	OPRD1
1-benzhydryl-4-benzylpiperidin-4-ol	OPRM1
bpr1k-0224	AURKC
2-hydroxy-5-isopropyl-2,4,6-cycloheptatrien-1-one	TYR
cgs-18102a	HTR1A
bay 85-8501	ELANE
2-(3-methylsulfanyl-propyl)-pentanedioic acid	FOLH1
2-(biphenyl-2-ylthio)-n,n-dimethylethanamine	HTR7
4-(5-(4-methoxyphenyl)thiophen-2-yl)phenol	APP
cypate-[(rgd)2-nh2]1	ITGAV
cypate-[(rgd)2-nh2]1	ITGB3
(s)-2-amino-4-phenyl-butane-1-thiol	ANPEP
6-methoxy-2-(4-phenoxy-benzyl)-1h-benzoimidazole	GRIN1
6-methoxy-2-(4-phenoxy-benzyl)-1h-benzoimidazole	GRIN2B
pf-03772304	PIK3CG
pf-03772304	MTOR
1-(2-(2-chlorophenyl)-1-phenylethyl)piperazine	SLC6A2
1-(2-(2-chlorophenyl)-1-phenylethyl)piperazine	SLC6A4
1-(2-(2-chlorophenyl)-1-phenylethyl)piperazine	SLC6A3
ly293558	GRIK1
bn52021	PTAFR
16-(pyridin-3-yl)methyl-estradiol	HSD17B1
(s)-2-((4-phenoxyphenoxy)methyl)piperidine	LTA4H
(4-bromo-1h-pyrazol-1-yl)(o-tolyl)methanone	ELANE
2-methylsulfanylestradiol 3,17-o,o-bis-sulfamate	STS
vu0361737	GRM4
sfv il-12 gene therapy	IL12B
nitrate	CA2
nitrate	CA1
sun13834	CMA1
jwh-309	CNR1
jwh-309	CNR2
methotrexate sodium	DHFR
azd-8418	GABRA1
azd-8418	GABRA2
azd-8418	GABRB2
ly134046	PNMT
gw685698x	NR3C1
2-methoxyphenyl 10h-phenothiazine-10-carboxylate	BCHE
admva	AKR1B1
adamantan-1-yl-piperazin-1-yl-methanone	HSD11B1
begacestat	APH1B
begacestat	PSENEN
begacestat	APH1A
begacestat	NCSTN
begacestat	PSEN1
2-acetylaminoethyl 18-methoxycoronaridinate	CHRNB4
2-oxo-2h-chromene-3-carboxylic acid	CA4
2-oxo-2h-chromene-3-carboxylic acid	CA12
2-oxo-2h-chromene-3-carboxylic acid	CA1
2-oxo-2h-chromene-3-carboxylic acid	CA9
acetic acid 8-aza-bicyclo[3.2.1]oct-6-yl ester	CHRM2
acetic acid 8-aza-bicyclo[3.2.1]oct-6-yl ester	CHRM1
acetic acid 8-aza-bicyclo[3.2.1]oct-6-yl ester	CHRM4
acetic acid 8-aza-bicyclo[3.2.1]oct-6-yl ester	CHRM3
4-tert-butyl-n-o-tolylthiazol-2-amine	CCR4
mycophenolic hydroxamic acid	IMPDH1
mycophenolic hydroxamic acid	IMPDH2
afamelanotide	MC1R
kojic acid	TYR
6-chloro-2-piperazin-1-yl-quinoline	SLC6A4
n-1-isopropyl-5-meot	HTR2A
6-chloro-2-phenyl-chromen-4-one	GABRA1
patisiran	TTR
4-octyl-n-(quinolin-3-yl)benzamide	TRPV1
5-bromothienyldeoxyuridine	TK1
fumaric acid	IFNG
skf-106760	ITGB3
skf-106760	ITGA2B
ttp-355	GCK
palodesangren d	AR
3-(1-ethyl-3,4-dihydronaphthalen-2-yl)-pyridine	CYP17A1
3-(1-ethyl-3,4-dihydronaphthalen-2-yl)-pyridine	CYP19A1
3-(1-ethyl-3,4-dihydronaphthalen-2-yl)-pyridine	CYP11B1
1-cyclopentylidenethiosemicarbazide	TYR
gabapentin	CACNA2D2
gabapentin	GABBR2
gabapentin	CACNA2D1
gabapentin	CACNA1B
po3 2-ile-trp-o-3k	ECE1
fl-386	DPYD
